city,country,2017,2018,2019,2020,2021,2022,2023
Legionowo,Poland,21.8,22.5,18.8,20.6,18.9,16.3,16.4
Mielec,Poland,25.3,25.1,21.1,18.8,23.9,16.4,16.4
Tarnobrzeg,Poland,,,,,17.5,16.1,16.4
Hwacheon,South Korea,,,,,15.3,16.5,16.4
Yangsan,South Korea,25.5,22.4,21.2,,17.5,16.4,16.4
Unteriberg,Switzerland,,,9.7,9.5,13.6,16.7,16.4
Ratchaburi,Thailand,22.4,32.2,29.5,22.8,21.6,16.4,16.4
Etimesgut,Turkey,,,,,13.8,16.3,16.4
Claymont,USA,,,,,16.7,16.4,16.4
Del Rey,USA,,,14.6,24.7,20.5,15.8,16.4
Tbilisi,Georgia,,,20.1,20.4,20.4,16.3,16.3
Nesher,Israel,13.8,12.4,16.8,13.6,14.4,15.7,16.3
Sannazzaro de' Burgondi,Italy,,,,,20.3,16.5,16.3
Tambopata,Peru,,,,,17.1,16.4,16.3
Mosina,Poland,,,,,16.7,15.3,16.3
Bloemfontein,South Africa,,,42.3,17.2,42.2,16.2,16.3
Hartbeespoort,South Africa,,,60,20.8,17,16.3,16.3
Gumi,South Korea,22.9,25.2,20.3,18.5,17.7,16.3,16.3
Lat Ya,Thailand,,,,,,16.9,16.3
Bolu,Turkey,,,24.8,22.5,15.2,16.2,16.3
Paramount,USA,,,,,16.5,16.3,16.3
Visalia,USA,16.8,17.6,12.8,23.5,20.9,16.2,16.3
Zulte,Belgium,,,,,17.3,16.3,16.2
Nyiregyhaza,Hungary,,,,15.7,17.8,15.4,16.2
Kfar Menahem,Israel,,,,,16.8,15.7,16.2
Cuernavaca,Mexico,,,22.8,19.6,18.7,16.6,16.2
Trujillo,Peru,,,18.1,16.4,16.9,16.2,16.2
Kielce,Poland,,,20.1,16.5,22.3,16.2,16.2
Walbrzych,Poland,,,,12.2,13.4,15.6,16.2
Lienchiang,Taiwan,,,19.4,18,18.3,16.2,16.2
Ban Bueng,Thailand,,,,14,18.2,16.6,16.2
Hat Yai,Thailand,,,,17.3,16.9,16.2,16.2
Los Angeles,Chile,24.1,21.6,21.7,17,17.3,16,16.1
Vina del Mar,Chile,9.6,11.9,13.8,12.1,14.3,16.2,16.1
Meizhou,China,28.9,27.6,24.3,21.3,19.3,16.2,16.1
Inarcs,Hungary,,,,,17.9,15.9,16.1
Novara,Italy,,,,,12,16.2,16.1
Ljubljana,Slovenia,,,,,18.8,16.2,16.1
Ptuj,Slovenia,,,,,18.3,16.2,16.1
Changhua,Taiwan,22.8,21.8,19.3,15.8,18.2,16.1,16.1
Ardesen,Turkey,,,14.9,20,16,16.1,16.1
Korfez,Turkey,,,,,,16.1,16.1
Medellin,Colombia,,,19.9,19.1,15.6,15.9,16
Decin,Czech Republic,23,23.1,17.8,16.4,17.1,16,16
Roznov pod Radhostem,Czech Republic,,,,,,16.8,16
Chaidari,Greece,,,,16.5,17.4,16.1,16
Qiryat Shemona,Israel,,,20.4,16.8,17.3,16.1,16
Putrajaya,Malaysia,,,22.4,19.2,19.4,16,16
Trebisov,Slovakia,,,,,17,16.1,16
Jeongseon,South Korea,,,16.4,,14,16,16
Pohang,South Korea,20.8,23.6,18.5,15.7,15.9,15.6,16
Bang Lamung,Thailand,,,23,23.1,21.8,17.1,16
Pho Thaen,Thailand,,,,,,18.7,16
Talca,Chile,14.3,13.7,17.6,14.6,17.2,15.9,15.9
Jiaojiangcun,China,,,,,18.7,15.7,15.9
Larnaca,Cyprus,17.8,18.1,19.9,15.9,14.3,15.7,15.9
Sde Yoav,Israel,17.7,16.6,19.4,16,18.3,15.7,15.9
Kokshetau,Kazakhstan,,,,,13.1,15.9,15.9
Land van Cuijk,Netherlands,,,,,17.2,15.8,15.9
Chelm,Poland,,,,16.4,17.2,15.5,15.9
Nisko,Poland,,,,15.3,20.1,15.8,15.9
Daejeon,South Korea,,,21.8,16.9,15.6,15.8,15.9
Dongducheon,South Korea,32.5,25.6,27.6,,15.6,15.9,15.9
Yecheon,South Korea,,,,14.8,16.7,16.1,15.9
Nong Han,Thailand,,,,,,16,15.9
Adana,Turkey,,,,,14.5,15.9,15.9
Balikesir,Turkey,,,18.2,15.1,14.9,15.8,15.9
Kars,Turkey,,,,,29,14.9,15.9
Sultangazi,Turkey,,,,,,15.9,15.9
Darrington,USA,9.5,7.1,7.2,8.7,8.2,16,15.9
Velyki Dmytrovychi,Ukraine,,,,,25.4,15.8,15.9
Feijo,Brazil,,,,14.2,11.7,15.7,15.8
Curanilahue,Chile,,,21.6,15.4,16.1,15.3,15.8
Shima,China,,,,,16.2,15.8,15.8
Kinshasa,Democratic Republic of the Congo,,,32.1,,44.6,15.5,15.8
Melissia,Greece,,,,15.3,16,15.9,15.8
Patras,Greece,,,,,14.7,15.8,15.8
Ponti Sul Mincio,Italy,,,,,18.4,16.1,15.8
Rizal,Philippines,,,,,19.4,15.8,15.8
Stupava,Slovakia,,,,,23.8,16.3,15.8
Trbovlje,Slovenia,,,,,18.4,16.4,15.8
Ratnapura,Sri Lanka,,,,12.9,14.2,14.7,15.8
Kinmen,Taiwan,,,23,18.4,19.5,15.9,15.8
Weaverville,USA,,,8.8,13.9,34.7,15.8,15.8
Ludmilla,Australia,,,,6.2,9.6,12.3,15.7
Burgas,Bulgaria,,,17.4,17.8,17.3,16,15.7
Ruse,Bulgaria,25.4,24.8,22,19.4,16.3,15.7,15.7
Golog,China,27.1,21.2,19.1,13.8,14.5,15.7,15.7
Mujiayingzi,China,,,,,21.5,16.8,15.7
Shenzhen,China,27.1,24.2,23.4,19,17.9,15.7,15.7
Moravska Trebova,Czech Republic,18.9,23,18.9,16.2,17,15.8,15.7
Studenka,Czech Republic,24.3,25.4,18,16.2,17.2,15.8,15.7
Bogor,Indonesia,,,,29.6,16.1,15.9,15.7
Siedlce,Poland,22.2,22,16.3,15.7,14.8,15.5,15.7
Szczytno,Poland,,,,,,15.1,15.7
Beocin,Serbia,,,24,,16.3,16,15.7
Neietsu,South Korea,,,,,13.8,15.6,15.7
Ban Tai,Thailand,,,,,,15.8,15.7
Forest Park,USA,,,,,16.8,15.5,15.7
Campinas,Brazil,,16,20,,16.4,15.5,15.6
Sungai Petani,Malaysia,,,14.8,15.1,18.2,15.7,15.6
Cherwon,South Korea,,,,,,15.7,15.6
Ulsan,South Korea,,,20.1,16.3,14.9,15.5,15.6
Karaman,Turkey,,,,,,15.5,15.6
La Pine,USA,,,,,10.1,15.7,15.6
Prerov,Czech Republic,24.4,22.9,17.9,15.5,16.2,15.5,15.5
Sesto San Giovanni,Italy,,,,,17.4,15.8,15.5
Tlalixtac de Cabrera,Mexico,,,,,11.7,15.6,15.5
Howick,South Africa,,,,,18.8,15.4,15.5
Pietermaritzburg,South Africa,,,,,11.9,15.4,15.5
Seocheon,South Korea,,,24.3,19.2,17.5,15.6,15.5
Bang Phli,Thailand,,,24.2,21.7,19.9,15.4,15.5
Cutler,USA,,,,,24.7,15.3,15.5
North Wawona,USA,,,,,,15.4,15.5
Mostar,Bosnia Herzegovina,,,,,10.8,15.4,15.4
La Greda,Chile,,,15.6,14.5,16.5,15.3,15.4
Chifeng,China,31.3,28.4,21.7,19.8,18.5,15.4,15.4
Paphos,Cyprus,,,18.5,14.3,14.1,15.4,15.4
Uherske Hradiste,Czech Republic,,,,15.3,18.3,15.7,15.4
Valasske Mezirici,Czech Republic,24.9,24.8,17.2,15,17.4,15.4,15.4
Macao,Macao SAR,,,,,,15.4,15.4
Silao,Mexico,,,,19,18.6,16.4,15.4
Terneuzen,Netherlands,,,,,17.6,15.4,15.4
Konin,Poland,,,,14.2,14.9,15.5,15.4
Lodz,Poland,23.3,23.8,19.9,18.1,20.2,15.4,15.4
Nova Gorica,Slovenia,,,,,,15.9,15.4
Jangheung,South Korea,,,,,15.6,15.5,15.4
Puebla de Alfinden,Spain,,,,,14,15.6,15.4
Bang Sare,Thailand,,,,,,15.4,15.4
Tha Muang,Thailand,,,,24.4,16.7,15.7,15.4
Baldwin Park,USA,,,,,18.8,17.8,15.4
Lowell,USA,,,7.2,6.5,8.1,15.9,15.4
Ningde,China,26.3,24.4,23.6,21.5,19.6,15.3,15.3
Shanwei,China,26.3,22.2,21.3,17.5,18.2,15.3,15.3
Cota,Colombia,,,,,12.8,15.5,15.3
Zlin,Czech Republic,21.3,21.7,16.5,13,14.7,15.7,15.3
Meppen,Germany,,,,,17.8,15.3,15.3
Tanah Merah,Malaysia,,,14.4,17.3,18.7,15.4,15.3
Tangkak,Malaysia,,,18.6,13,15.4,15.3,15.3
Olbrachcice,Poland,,,21.9,24.1,20.8,14.9,15.3
Warsaw,Poland,26.7,24.2,17.3,16.7,18.2,15.3,15.3
Slatina,Romania,,,,,14.1,14.9,15.3
Busan,South Korea,,,21,16.7,15.6,15.3,15.3
Samsun,Turkey,,,14,17.1,20.7,15.3,15.3
Puchuncavi,Chile,13.7,14.8,15.9,14,15.4,15.2,15.2
Linas,France,,,,,17.1,15.3,15.2
Nea Alikarnassos,Greece,,,,,15.7,15.2,15.2
Singardih,India,,,,,,15.5,15.2
Piotrkow Trybunalski,Poland,,,,18.6,17.3,15.7,15.2
Jeju,South Korea,21.8,18.7,21.4,,13.6,15.2,15.2
Murcia,Spain,,,,16.1,15.1,15.2,15.2
Yala,Thailand,17,19,20.9,16.2,14,15.8,15.2
Sunnyslope,USA,,,,,10.4,15.6,15.2
Borova,Ukraine,,,,18.7,23.1,14.5,15.2
Rio Claro,Brazil,,,,17.8,16.7,14.9,15.1
Blagoevgrad,Bulgaria,,,,,11.2,17.4,15.1
Bogota,Colombia,15.7,13.9,13.1,14.3,13.7,15.1,15.1
Opava,Czech Republic,22.7,24.5,16.9,14.9,15.8,15.2,15.1
Jimbaran,Indonesia,,,,14.6,14.1,15,15.1
Lodi,Italy,,,,,18.1,15.6,15.1
Inowroclaw,Poland,,,,12.4,14.2,14.9,15.1
Jelenia Gora,Poland,21.8,21.3,20.1,19.6,19.3,14.8,15.1
Ponik,Poland,17.2,17.7,12.8,15.2,17.8,15,15.1
Chuncheon,South Korea,24.2,21.3,22.5,,16.5,15.1,15.1
Pyeongchang,South Korea,,,25.2,,13.7,15.1,15.1
Bo Win,Thailand,,,,,,15.3,15.1
Kirikkale,Turkey,,,17.5,15.3,19.6,15,15.1
Guarulhos,Brazil,17.3,21.6,18.7,16.4,16.1,15,15
Osasco,Brazil,,22.1,19.8,16.7,16.8,15.1,15
Cadereyta Jimenez,Mexico,,,,22.4,22,14.8,15
Wawer,Poland,,,17.3,18.1,18,15.1,15
Gyeongju,South Korea,,,21.2,16.7,15.9,15.1,15
Mollet del Vallès,Spain,,,,,34.7,14.5,15
Ban Klang,Thailand,,,,,,15.2,15
Bang Kaeo,Thailand,,,,,,14.9,15
Aliaga,Turkey,,,,,9,13.3,15
Altinova,Turkey,,,,,,14.9,15
Ordu,Turkey,,,14.2,16.6,12.9,15.1,15
Republic,USA,,,,,24.1,14.9,15
Thanh Pho Lang Son,Vietnam,,,,,36.8,14.6,15
Argyroupoli,Greece,,,,,15.2,16.2,14.9
Patra,Greece,,,17.5,16.6,14.9,14.9,14.9
Trento,Italy,,,11.9,13.7,13.3,14.8,14.9
Alor Gajah,Malaysia,,,16.9,13.8,17.5,15,14.9
Gdansk,Poland,11.7,10.1,14.2,15,16.5,14.9,14.9
Lomza,Poland,,,,16.5,16.8,14.7,14.9
Lubliniec,Poland,,,,18.9,18.1,14.3,14.9
Otwock,Poland,29.3,30.2,18.2,22.4,19.6,14.6,14.9
Gimhae,South Korea,19.8,20.2,20.8,16.9,15.1,15.3,14.9
Yanggu,South Korea,,,,,15.1,15,14.9
Exeter,USA,,,,,22.1,14.8,14.9
Madawaska,USA,7,7.8,6.3,5.7,12.8,14.8,14.9
Peotone,USA,,,,,16.7,14.9,14.9
Edlitz,Austria,,,13.5,12.8,14,15.2,14.8
Valdivia,Chile,33.5,33.3,14.5,13.5,12.7,14.9,14.8
Ximei,China,,,,,15.7,14.8,14.8
Belotin,Czech Republic,23.4,23.7,17.6,,16.5,15.1,14.8
Tatabanya,Hungary,,,,12.7,18.6,15.1,14.8
Manado,Indonesia,,,,,11.7,14.5,14.8
Gelugor,Malaysia,,,15.4,15.5,16.6,14.8,14.8
Roosendaal,Netherlands,,,,,17.4,14.8,14.8
Borowiec,Poland,,,,12.1,13.2,14.7,14.8
Radom,Poland,25.9,27.1,18.7,19.5,19.6,14.8,14.8
Trzebnica,Poland,,,,,12.6,14.7,14.8
Khlong Sam,Thailand,,,,,,14.8,14.8
Chiguayante,Chile,16.1,17,19.8,14.9,15.9,14.6,14.7
Debrecen,Hungary,,,,16.1,17.3,14.6,14.7
Mantova,Italy,,,,,17.4,15.3,14.7
Rovereto,Italy,,,11.6,13,13.2,14.7,14.7
Kasaoka,Japan,17,17.1,15.7,14.4,14.1,14.6,14.7
Makati,Philippines,,,,,8.9,14.7,14.7
Niepolomice,Poland,,,,,15.4,14.7,14.7
Piastow,Poland,24.4,19.5,19.2,17.8,18,14.7,14.7
Ursus,Poland,,,17.9,17,16.8,14.8,14.7
Bardejov,Slovakia,,,,,15.6,14.8,14.7
Gimcheon,South Korea,25.8,24.8,25.3,17.8,16.9,14.7,14.7
Mu Si,Thailand,,,,,,15.2,14.7
Adrian,USA,,,,,15.1,14.7,14.7
Algona,USA,,,,,7.1,14.7,14.7
Hanford,USA,,,,20.4,15.4,14.8,14.7
Parlier,USA,,,,,18.5,14.7,14.7
Rice Lake,USA,,,,,16.9,14.5,14.7
Bludenz,Austria,,,,,14.8,14.7,14.6
Jian'ou,China,,,,,16,14.6,14.6
Steti,Czech Republic,,,16.3,,13,15,14.6
San Miguel,El Salvador,,,,,12.3,14.6,14.6
Montreuil,France,,,,,,14.4,14.6
Papagou,Greece,,,15.5,14.2,14.5,14.6,14.6
Peristera,Greece,,,,,17.7,16.6,14.6
Le Grazie di Ancona,Italy,,,,15.6,12.3,14.2,14.6
Naifaru,Maldives,,,,,,14.1,14.6
Arequipa,Peru,,,,,,14.4,14.6
Metro Manila,Philippines,,,18.2,13.1,15.7,14.6,14.6
Silang,Philippines,,,,,15.4,14.6,14.6
Palma,Spain,,,,,12.2,14.3,14.6
Nantou,Taiwan,26.5,22.9,20.3,17.9,19.3,14.6,14.6
Sawankhalok,Thailand,,,,29.4,15.1,14.9,14.6
Olomouc,Czech Republic,20.4,19,16.1,15.8,17.7,14.6,14.5
Vilnius,Lithuania,16.9,18.2,15.8,13.4,14.6,14.5,14.5
Kocani,North Macedonia,,,,,14.7,13.8,14.5
La Merced,Peru,,,,,7.2,14.6,14.5
Glubczyce,Poland,,,,,13.8,14.2,14.5
Grajewo,Poland,,,,15.1,13.2,14.1,14.5
Jaroslaw,Poland,,,22.9,19.1,18.8,14.4,14.5
Hnusta,Slovakia,19,18.9,16.2,14,16,14.4,14.5
Vranov nad Toplou,Slovakia,19.7,18.7,16.2,14.4,16.6,15.1,14.5
Bailén,Spain,,,,,12.2,14.8,14.5
Sisa Chorakhe Yai,Thailand,,,,,,14.5,14.5
Corcoran,USA,,,,19.4,14.6,14.3,14.5
Gordonville,USA,10.8,9.2,11,9.7,13.7,14.5,14.5
Loysville,USA,,,,,,15,14.5
Pico Rivera,USA,,,14.9,15,16.5,14.3,14.5
Tirana,Albania,,,,16,12.5,14.5,14.4
Mistelbach,Austria,,,,,10.9,14.5,14.4
Shaowu,China,,,,,15.1,14.4,14.4
Zhoushan,China,23.9,21.3,19.8,16.4,14.7,14.4,14.4
Limassol,Cyprus,,,,,15,14.3,14.4
Hong Kong,Hong Kong SAR,21.8,20.2,20.3,15.4,15.9,14.4,14.4
Ariyalur,India,,,,,15.1,14.5,14.4
Asakuchi,Japan,17,18,16.1,15.5,14,14.4,14.4
Kamenica,Kosovo,,,16.7,16.2,13.9,14.8,14.4
Kulim,Malaysia,,,14.1,14.4,13.5,14.5,14.4
Mexicali,Mexico,22.7,30.2,17.7,19.7,15.9,14.4,14.4
Debica,Poland,,,25.5,22.9,21.7,14.7,14.4
Konstancin-Jeziorna,Poland,21.6,21.8,15.9,15.8,19.4,14.2,14.4
Rabka-Zdroj,Poland,,,,,11.7,13.7,14.4
Mungyeong,South Korea,,,,15.7,18,14.6,14.4
Rotkreuz,Switzerland,,,16.3,15.4,16.1,14.5,14.4
Khlang,Thailand,,,,,,14.9,14.4
Pathum Thani,Thailand,,,26.2,24,17.5,14.4,14.4
Thap Sakae,Thailand,,,,,15.3,14.8,14.4
Enterprise,USA,8.6,8.4,6.5,8.7,7.7,15,14.4
Wenatchee,USA,11.8,10.8,8,12.5,7,14.4,14.4
Stoessing,Austria,,,15.1,13.5,14.1,14.2,14.3
La Serena,Chile,13.9,14.5,13.6,10.2,11.4,14.3,14.3
Longyan,China,24.4,25.3,22.9,18.9,19.3,14.4,14.3
Sanming,China,25.9,24.7,23.6,21.6,20.6,14.3,14.3
Seri Manjung,Malaysia,,,16.2,17.4,16.9,14.4,14.3
San Juan del Rio,Mexico,,,,,,15.5,14.3
Oost Gelre,Netherlands,,,,,16.9,14.3,14.3
Turochak,Russia,,,,,20.7,14.2,14.3
Arona,Spain,,,8.3,10.3,9,14.4,14.3
Cartagena,Spain,,,,12.2,9.1,14.3,14.3
Giresun,Turkey,,14,21.9,21.3,23.7,14.3,14.3
Sorgun,Turkey,,,14.4,12.8,17,14.3,14.3
Buenos Aires,Argentina,,,12.4,14.2,13.6,14.2,14.2
Maua,Brazil,,,,,13.7,13.6,14.2
Puer,China,,18.3,23.7,22.1,22.4,14.5,14.2
Tantou,China,,,,,17,14.3,14.2
Beroun,Czech Republic,18.8,22.5,15.6,14,15.3,14.2,14.2
Chocen,Czech Republic,,,,,,14.2,14.2
K-Puszta,Hungary,,,,10.9,16,13.9,14.2
Zubin Potok,Kosovo,,,,,22.5,14.4,14.2
Grigiskes,Lithuania,,,,,21.9,14.1,14.2
Culemborg,Netherlands,,,17.9,12.6,13.2,14.2,14.2
Augustow,Poland,,,,17.6,18.1,14.3,14.2
Zamosc,Poland,,,,12.6,18.2,14,14.2
Donghae,South Korea,20.1,19.2,19.9,,14.7,14.3,14.2
Compton,USA,,,15.7,18,15.4,14.2,14.2
Salmon,USA,14.2,9.9,9.3,12.5,12.6,14.3,14.2
Oostrozebeke,Belgium,17.3,17.2,15.1,13.9,15.2,14.1,14.1
Concon,Chile,,,14.1,12.4,14.4,14.2,14.1
Saint-Andre,France,,,,,13.7,14.2,14.1
Batumi,Georgia,,,,17,14.3,14.1,14.1
Palaio Faliro,Greece,,,,,18.5,15,14.1
Vrachnaiika,Greece,,,,10,10.2,13.5,14.1
Egna,Italy,,,12.6,12.7,13,14.1,14.1
Veldhoven,Netherlands,11.2,12.8,12.3,10.6,12.5,14.1,14.1
Kunwi,South Korea,,,,13.9,15.2,14.3,14.1
Barreda,Spain,,,,,14.6,14.1,14.1
Ankara,Turkey,,19.6,18.4,18.5,17.2,14,14.1
Lumby,Canada,,,,,25.9,12.3,14
Quintero,Chile,,,14.8,16,16.3,14.1,14
Lijiang,China,13.8,15.6,10.5,11.7,12,14.1,14
Nagqu,China,43,32.9,18.4,15.6,15.7,14,14
Roubaix,France,14.9,14.9,14.2,,13.9,14.6,14
San Paolo,Italy,,,15.1,16.6,13.5,14.1,14
Tamana,Japan,,,13.4,13.3,12.9,14,14
Pavlodar,Kazakhstan,,,,,13.6,13.9,14
Sopot,Poland,,,,,12.7,14.1,14
Szczecinek,Poland,,,,12.4,13.7,13.7,14
Trencin,Slovakia,13.2,19.8,17.9,15.6,15.1,14.1,14
Alcantarilla,Spain,,,,13.8,13.6,13.8,14
Dambulla,Sri Lanka,,,,9.8,12.1,14,14
Lat Yai,Thailand,,,,,,14.1,14
Crown Point,USA,,,,,13.6,13.9,14
Elwood,USA,,,,,14.9,14,14
Selinsgrove,USA,,,,,13.9,14.1,14
Roeselare,Belgium,14.1,15.3,13.3,12.1,13.3,14,13.9
Sao Bernardo do Campo,Brazil,,16.4,16.7,15.9,15.2,13.9,13.9
Golden,Canada,,,,11.5,22.2,13.8,13.9
Qoqek,China,16.3,12.1,10,12.2,12.5,13.9,13.9
Brno,Czech Republic,18.8,20.4,15.7,13.5,15.4,13.9,13.9
Davao City,Philippines,,,,,11,13.9,13.9
Dzierzoniow,Poland,,,,13.7,13.4,14,13.9
Krosno,Poland,,,,,17.3,13.8,13.9
Secunda,South Africa,,,27.3,21.8,17.5,14.4,13.9
Yunlin,Taiwan,26.6,23.9,20.5,17,18.5,14,13.9
Nakhon Ratchasima,Thailand,,37.6,42.2,21.6,20.3,13.9,13.9
Narathiwat,Thailand,8.6,15.2,17.5,14.3,13.7,14.5,13.9
Rumford,USA,7.1,6.4,5.4,5.1,12.1,13.9,13.9
Leibnitz,Austria,,,,14.2,13.3,13.7,13.8
Evergem,Belgium,14.2,15.3,14.2,13,14.4,13.9,13.8
Sao Caetano do Sul,Brazil,,18.1,17.2,15,15.5,13.9,13.8
Gelsenkirchen,Germany,16.5,16.6,14,11.9,13,13.8,13.8
Tolk,Germany,,,,,13.8,14.1,13.8
Metamorfosi,Greece,,,,,15.5,13.9,13.8
Gyor,Hungary,,,,12.5,14.6,13.9,13.8
Komarom,Hungary,,,,,14.2,13.9,13.8
Kanoya,Japan,15.9,15.5,14.3,14,12.1,13.8,13.8
Ciudad de Allende,Mexico,,,,,,13.9,13.8
San Luis de la Paz,Mexico,,,11.9,10.9,11.1,13.9,13.8
San Miguel de Allende,Mexico,,,14,12.4,12.5,13.8,13.8
Czarnowko,Poland,,,,13.6,12.6,13.8,13.8
Pila,Poland,,,,9.9,12.1,13.3,13.8
Zgierz,Poland,19.2,21.9,27,24.5,20.7,15.3,13.8
Sibiu,Romania,,,,,9.7,12.4,13.8
Timisoara,Romania,,,,,14.3,13.9,13.8
Gangneung,South Korea,24.6,19.8,19.5,,11,13.8,13.8
Yeoncheon,South Korea,25.8,20.6,21.8,,16.1,14,13.8
Elche,Spain,,,,,12.7,13.7,13.8
Lorca,Spain,,,,14.5,11.4,13.2,13.8
Odunpazari,Turkey,,,,,15.9,14,13.8
Alpharetta,USA,,,,,,13.8,13.8
Atwater,USA,,,,,16.1,13.8,13.8
Chewelah,USA,,,,,13.2,13.8,13.8
Fresno,USA,10.9,14,12,22.2,16.9,13.8,13.8
Montebello,USA,,,,,16.2,13.9,13.8
Moxee,USA,,,,,,13.8,13.8
Oberhausen,Germany,,,,14.3,12.9,14.1,13.75
Wielsbeke,Belgium,14.9,16.5,14.8,13.9,15,13.8,13.7
Timoteo,Brazil,,,,,,13.9,13.7
Qiongshan,China,,,,,13.3,13.7,13.7
Usti nad Labem,Czech Republic,17,18.3,14.1,12,12.9,13.8,13.7
Herford,Germany,,,,,16.3,13.7,13.7
Meiderich,Germany,,,,,17.1,14,13.7
Pristina,Kosovo,31.7,30.4,23.5,20,14.6,13.7,13.7
Funadhoo,Maldives,,,,,,14.5,13.7
L-Imsida,Malta,,,15,11.8,16.1,13.6,13.7
Ostroda,Poland,,,,11.7,10.8,13.4,13.7
Borovnica,Slovenia,,,,,,13.9,13.7
Natahoyo,Spain,,,9.8,9.5,10.2,13.7,13.7
Puertollano,Spain,,,17.5,14.4,14.1,13.6,13.7
Bakersfield,USA,16.2,15.9,11.3,20.7,16.8,13.6,13.7
Kettle Falls,USA,,,7.6,11.2,17.9,14.6,13.7
Shenjiamen,China,,,,,12.4,13.6,13.6
Desinic Gora,Croatia,,,,,,12.9,13.6
Dunaujvaros,Hungary,,,,13.3,13.9,13.2,13.6
Hayashima,Japan,16.9,15.9,14.8,14.1,12.7,13.6,13.6
Kaunas,Lithuania,,15.1,12.2,10.8,13.4,13.7,13.6
Balik Pulau,Malaysia,,,16.1,17.9,16.6,13.6,13.6
Olongapo,Philippines,,,,,10.3,13.7,13.6
Biala Podlaska,Poland,,,,16.4,16.9,13.4,13.6
Ko Chang Tai,Thailand,,,,10.8,15,13.5,13.6
Wawona,USA,,,9.8,27.8,14.3,13.3,13.6
Rivne,Ukraine,,,,,18.1,13.1,13.6
Curitiba,Brazil,,,,,12,12,13.5
Sao Paulo,Brazil,16,16.2,15.3,14.2,14.8,13.5,13.5
Chengyang,China,,,,,13.4,13.5,13.5
Jinjiang,China,,,,,14.8,13.5,13.5
Wucheng,China,,,,,16.3,13.5,13.5
La Union,El Salvador,,,,,11.2,14.2,13.5
Valenciennes,France,15.1,15.3,11.3,10,12,13.9,13.5
El Chol,Guatemala,,,,19.2,17,14.2,13.5
Szeged,Hungary,,17.3,15.7,16.2,26.4,14.1,13.5
Sukasada,Indonesia,,,,,14.5,13.6,13.5
Gorzow Wielkopolski,Poland,,,,12.7,16.3,13.4,13.5
Holboca,Romania,,,,,,13.1,13.5
Trnava,Slovakia,16.8,20.5,16.7,16.3,15.8,13.4,13.5
Las Rosas,Spain,,,6.4,8.9,8.6,14.2,13.5
Rayong,Thailand,19.9,21.2,17.5,17.1,17.4,13.4,13.5
Tekirdag,Turkey,,,18.5,16.6,16,13.4,13.5
Buena Park,USA,,,,,15,13.5,13.5
Cleves,USA,9.7,8.6,8,7.6,8.6,13.4,13.5
Muskegon,USA,,,,,16,13.5,13.5
West Elizabeth,USA,,,,,,13.5,13.5
Puntigam,Austria,,,,15.8,16.8,13.4,13.4
Menen,Belgium,,,,,14.1,13.5,13.4
Diadema,Brazil,,,,,,13.7,13.4
Curacavi,Chile,,,,,7.1,14,13.4
Pucheng,China,,,,,13,13.5,13.4
Karlin,Czech Republic,,,,,,14.1,13.4
Veszprem,Hungary,,,,12.6,12.5,13.4,13.4
Laghetti,Italy,,,12.8,13,13.1,13.9,13.4
Kurume,Japan,15.9,14.5,13.7,,12.8,13.4,13.4
Taiping,Malaysia,,,15.1,16.3,16.9,13.5,13.4
Bayantal,Mongolia,,,,,14.8,12.9,13.4
Jaslo,Poland,,,,13.2,15.9,13.4,13.4
Kamensk-Shakhtinskiy,Russia,,,,16,15.8,13.4,13.4
Bratislava,Slovakia,14.9,17.2,13.6,14.2,13.8,13.4,13.4
Hrastnik,Slovenia,,,,,16.1,13.8,13.4
Maribor,Slovenia,,,,,14.4,13.8,13.4
Ulleung,South Korea,,,,12.8,10.5,13.3,13.4
Sila,Thailand,,,,,,14.2,13.4
Kirikareli,Turkey,,,,,,13.2,13.4
Hayfork,USA,,,,,47.8,14.2,13.4
Moyie Springs,USA,,,,,,13.5,13.4
San Gabriel,USA,,,14.2,17.3,16.3,13.4,13.4
Tome,Chile,14.8,20.9,15.7,11.5,13.8,13.2,13.3
Heihe,China,21.3,18,14.8,16.4,14.6,13.4,13.3
Marianske Radcice,Czech Republic,18.7,20.5,15.5,14.9,14.5,13.3,13.3
Menany,Czech Republic,,,,,,13.6,13.3
Teplice,Czech Republic,18.8,19.1,14.2,13.4,13.3,13.3,13.3
Gardanne,France,12.2,12.1,11.2,11.3,12.2,14.1,13.3
Skyros,Greece,,,,,12.5,12.4,13.3
Szolnok,Hungary,,,17.2,15,15,13.4,13.3
Ora,Italy,,,12.4,13,13.1,13.3,13.3
Kofu,Japan,11.8,11.9,12.1,11.4,12,13.2,13.3
Yatsushiro,Japan,14.3,14.9,15.2,14.2,12.7,13.3,13.3
Fuvahmulah,Maldives,,,,,,13.3,13.3
Gdynia,Poland,,,,12.7,15.1,13.3,13.3
Caciulati,Romania,,,,,15.4,13.2,13.3
Singapore,Singapore,13.3,14.8,19,11.8,13.8,13.3,13.3
Bang Krabao,Thailand,,,,,,13,13.3
Rang Bua,Thailand,,,,,,13.1,13.3
Emsworth,USA,,,,,12.5,13.3,13.3
Index,USA,,,,,,12.7,13.3
Otis Orchards-East Farms,USA,,,,,13.5,13.4,13.3
Sultan,USA,,,,,6.7,14.7,13.3
Wolfsberg,Austria,,,13.9,12.8,13,13.1,13.2
