city,country,2017,2018,2019,2020,2021,2022,2023
Alandi,India,,,,,38.9,49.9,50
Karachi,Pakistan,38.5,33.7,40.2,43.8,45.9,50.6,50
Chandigarh,India,,,52.6,32.4,43.6,49.9,49.9
Sirsa,India,,,73.7,47.2,57.8,51.3,49.5
Jiaozuo,China,74.8,66.9,61.3,56.2,47.1,49.5,49.4
Pingdingshan,China,67.3,65.1,60.1,51.2,47.1,49.4,49.4
Navi Mumbai,India,,,61.6,52.6,56,49.3,49.4
Ujjain,India,,54,43.4,44.6,44.6,48.7,49.3
Amritsar,India,,60.6,47.2,47.1,55,49.2,49.1
Linfen,China,80.6,68.2,61.7,52.5,55.5,49.1,49
Xian,China,70.2,59.9,56.6,49.3,41.1,48.6,48.8
Pasarkemis,Indonesia,,,,,,49.6,48.1
Kaimla,India,,,62.8,63.2,60.9,47.4,48
Salodi,India,,,,,,48,48
Abu Dhabi,United Arab Emirates,,48.8,38.4,23.9,33.8,48,47.9
Rawalpindi,Pakistan,,,40.8,42.4,51.4,48.5,47.7
Shahecheng,China,,,,,44.1,47.7,47.4
Qufu,China,,,,,42,46.7,47.3
Firozabad,India,,,,,83.4,46.8,47.3
Jabalpur,India,,,,46.7,42.5,46,47.3
Heze,China,70,60.1,59.7,54.2,48.5,47.2,47.2
Turpan,China,66.1,56.1,56.3,49.5,49.6,47.3,47.2
Dushanbe,Tajikistan,,,,30.9,59.5,47.7,47.2
Xuchang,China,63.2,64.2,60.6,53.6,45.1,46.9,46.9
Nanyang,China,57.1,60.6,60,51.4,47.1,47.2,46.8
Mumbai,India,54.2,58.6,45.3,41.3,46.4,46.7,46.8
Ash Shihaniyah,Qatar,,,,,,48.8,46.8
Prijedor,Bosnia Herzegovina,,,,,42.2,44.1,46.7
Doburji,India,,,,,,47.2,46.7
Abuja,Nigeria,,,,,27.3,46.5,46.7
Cairo,Egypt,,,,,,47.4,46.6
Jalandhar,India,,56.4,41,52.2,58.3,46.3,46.5
Riyadh,Saudi Arabia,,,22.1,23.3,32.5,46.2,46.5
Handan,China,96.7,74,64.3,58.9,45.6,46.5,46.4
Shangqiu,China,61.8,61.9,72.6,52.7,45.8,46.4,46.4
Shancheng,China,,,,,41.7,46,46.3
Yanggu,China,,,,,44,46.1,46.2
Jinzhong,China,61,53.5,45.5,43,39.1,46.1,46
Wuhan,China,51,46.9,44.4,36.5,46.7,45.9,46
Zhengzhou,China,70,64.1,58.4,50.9,43.4,45.8,45.9
Agartala,India,,,,,39.2,42.3,45.7
Visakhapatnam,India,50.4,52.8,44,40.3,44.3,44.7,45.7
Luancheng,China,,,,,44.8,45.9,45.6
Sishui,China,,,,,42.4,44.8,45.5
Yanta,China,,,,,43.2,46.1,45.5
Jhansi,India,,,,,,47.2,45.5
Vadodara,India,,,,,39.5,45.4,45.5
Juye,China,,,,,41.1,45.2,45.4
Sanmenxia,China,60.7,57.5,56.1,47.5,42.7,45.4,45.4
Burabay,Kazakhstan,,,,,67.9,42.8,45.4
Dingtao,China,,,,,41.3,45.2,45.3
Jingmen,China,49.5,56.2,56.4,45.3,45.6,44.8,44.9
Ghandinagar,India,,,,,45.5,44.6,44.9
Pale,Bosnia Herzegovina,,,,,38.8,45.7,44.8
Nagpur,India,56.2,46.6,47.2,27.1,35.2,46.8,44.8
Pithampur,India,,46.2,39.5,40.1,48.1,44.7,44.8
Linshui,China,,,,,40.5,46.3,44.7
Yucheng,China,,,,,44.4,44.6,44.7
Khartoum,Sudan,,,,,44.1,44.6,44.6
Prayagraj,India,,,,,,43.8,44.5
Nochikadu,India,,,,,,43.2,44.4
